Participant ID,Gender,Age,Device Use,Final Dot Difference,Num Of Trials,Choice of Human,Choice of Algorithm,Top Box Chosen,Preference Strength,Max Cj,Min Cj,Cj Range,Num of Unique Cj Values,Advice Ignored Trials,Cj1 Mean Resolution,Cj2 Mean Resolution,Mean Cj1 Accuracy,Mean Cj2 Accuracy,Sway of Human Advice,Sway of Algor Advice,Mean RT1,Mean RT2,Mean CTC,AccQuant1,AccQuant2,AccQuant3,AccQuant4,AdvQuant1,AdvQuant2,AdvQuant3,AdvQuant4,CjQuant1,CjQuant2,CjQuant3,CjQuant4,Mean Cj1,Mean Cj2,Human Agreed %,Algor Agreed %,Algor Agreed % Diff,Human Agreed Conf Diff,Algor Agreed Conf Diff,Human Disagreed Conf Diff,Algor Disagreed Conf Diff,Algor Relative Influence
17e3142161a2c9742f5482315794bd57c8bc1935,f,20,9,15,360,0.092,0.908,0.521,0.408,42,1,41,30,49,1.396,1.457,0.694,0.717,0.579,0.504,1.811,1.879,3.6,0.803,0.773,0.707,0.721,0.746,0.742,0.828,0.691,0.197,0.183,0.161,0.189,0.533,0.291,0.763,0.951,0.188,-0.825,-0.957,-1.643,6.333,-8.109
662e10aa26aac54f4b9afdc3ba59a687ee1d53ea,m,20,9,9,360,0.371,0.629,0.362,0.129,50,6,44,44,29,1.494,1.984,0.539,0.644,1.205,1.851,2.077,2.771,4.552,0.662,0.554,0.662,0.639,0.568,0.6,0.523,0.556,0.206,0.181,0.181,0.2,24.522,24.31,0.667,0.783,0.117,-1.471,-1.294,0.6,1.462,-0.685
7a1f81a2eda0a2f81c56491e4bd5233a9693a765,f,27,4,15,360,0.225,0.775,0.463,0.275,42,1,41,38,1,1.321,3.142,0.603,0.681,0.076,4.02,6.355,5.327,7.82,0.847,0.569,0.644,0.73,0.778,0.667,0.699,0.595,0.2,0.2,0.203,0.206,2.097,3.635,0.883,0.9,0.017,-0.109,-2.766,7.143,0.5,3.986
36bbdf41b97a433fba4a6b71128572eeb8985393,m,25,5,15,360,0.296,0.704,0.479,0.204,15,1,14,14,184,0.3,0.059,0.708,0.706,0.04,0.301,4.547,3.819,6.043,0.952,0.404,0.484,0.945,0.597,0.712,0.774,0.63,0.172,0.144,0.086,0.203,1.931,1.864,0.559,0.623,0.064,-0.281,-0.147,0.208,-0.696,1.038
0c4272f4bc46e07abef05c17076ca5a0839f644d,m,37,3,15,360,0.446,0.554,0.013,0.054,45,1,44,34,7,2.252,2.626,0.622,0.619,0.085,0.583,2.731,2.158,3.926,0.76,0.605,0.423,0.721,0.587,0.57,0.526,0.477,0.208,0.239,0.217,0.239,1.85,2.162,0.717,0.55,-0.167,1.619,-1.242,0.118,-0.704,-2.04
6b669d724403255ecf7130ac1479962068e8b14b,m,19,4,14,360,0.233,0.767,0.35,0.267,50,2,48,43,117,2.6,4.183,0.483,0.494,0.13,0.135,1.785,1.564,3.142,0.483,0.605,0.375,0.452,0.724,0.593,0.719,0.679,0.242,0.239,0.178,0.233,10.119,10.653,0.633,0.5,-0.133,0,0.448,-0.227,0.1,0.121
6a1d0962fc2840547f8f5dfde1880c8577154418,m,38,9,11,360,0.487,0.512,0.087,0.013,46,4,42,36,0,2.734,0.368,0.511,0.531,0.013,1.953,1.261,1.338,2.994,0.526,0.608,0.507,0.525,0.526,0.595,0.507,0.45,0.211,0.219,0.208,0.222,5.989,7.033,0.593,0.574,-0.019,-0.724,-5,0.053,0.708,-4.932
7f96b4d5653175d7a753515f3e7b957225a5f6de,m,24,7,12,360,0.383,0.617,0.254,0.117,28,1,27,25,209,1.426,1.339,0.561,0.572,0.184,0.703,1.566,1.76,3.192,0.69,0.545,0.517,0.538,0.586,0.591,0.569,0.538,0.242,0.183,0.161,0.217,0.928,0.689,0.467,0.567,0.1,-0.321,-0.719,0.344,-1.423,1.37
01950c570c3286a004206398b164757921112876,m,27,9,8,360,0.921,0.079,0.521,0.421,47,1,46,43,66,0.937,0.833,0.508,0.586,0.181,0.38,3.684,4.525,6.493,0.58,0.486,0.731,0.592,0.272,0.243,0.179,0.197,0.225,0.194,0.217,0.211,5.392,5.23,0.639,0.695,0.056,-0.556,-0.722,2.364,2.056,0.141
2ea2431f9322775d29d6e62b3617a4276aeaa206,f,20,9,15,360,0.9,0.1,0.504,0.4,46,10,36,33,68,5.51,3.147,0.519,0.694,4.892,2.808,1.902,2.057,3.925,0.776,0.7,0.648,0.699,0.313,0.15,0.225,0.253,0.186,0.222,0.197,0.231,18.658,17.219,0.917,0.917,0,-4.784,-3.434,1.2,-5,7.55
7c824e6d7603d9ab6a2606a9788f5269eeaaa01b,f,25,5,9,360,0.396,0.604,0.583,0.104,19,1,18,18,0,1.119,0.116,0.553,0.447,0.901,1.714,1.855,1.589,3.314,0.6,0.525,0,0.471,0.5,0.65,0,0.324,0.028,0.111,0,0.094,0.283,4.966,0.433,0.5,0.067,-1.714,-1,-0.133,-1.357,1.938
30b6b081ad057daa50fbb4c1295ac070bd66aa24,f,32,3,14,360,0.15,0.85,0.512,0.35,3,1,2,3,286,0.167,0.254,0.519,0.569,0.051,0.031,1.952,1.821,3.482,0.588,0,0,0.466,0.706,0,0,0.753,0.047,0,0,0.203,0.358,0.281,0.6,0.683,0.083,-0.071,-0.118,-0.05,0.056,-0.152
68f4e7ae74b5e8cfd9956c6a55c54b875b440743,m,39,4,14,360,0.412,0.588,0.521,0.088,34,12,22,20,73,1.322,0.527,0.561,0.572,1.574,1.609,2.868,2.735,4.788,0.526,0.545,0.539,0.583,0.561,0.455,0.592,0.528,0.158,0.092,0.211,0.2,20.144,18.421,0.533,0.5,-0.033,1.594,1.5,1.929,1.867,-0.032
1b58d455372e21dd4747f2c2ee59a3eae0be6958,m,21,6,9,360,0.662,0.338,0.454,0.162,36,1,35,31,0,2.655,1.407,0.514,0.658,1.088,0.731,3.698,1.746,3.602,0.63,0.735,0.567,0.652,0.342,0.353,0.383,0.435,0.203,0.189,0.167,0.192,5.244,2.941,0.8,0.867,0.067,-0.05,0.455,-1.545,-2.5,1.459
daa288039a4e4be7043556c179cba7bd6e6d7cad,m,41,9,7,360,0.479,0.521,0.158,0.021,41,2,39,37,2,2.272,0.742,0.511,0.631,0.034,0.192,2.064,1.733,3.585,0.662,0.612,0.585,0.681,0.541,0.463,0.569,0.478,0.206,0.186,0.181,0.192,3.019,0.857,0.75,0.85,0.1,1.333,0.146,2.6,-1.222,2.635
53045ee33c5b7dc12e3dc03997d074483d3f08a6,f,54,9,15,360,0.662,0.338,0.275,0.162,41,10,31,32,155,3.617,1.804,0.528,0.636,0.838,0.376,2.454,2.578,4.516,0.667,0.635,0.622,0.608,0.361,0.476,0.27,0.527,0.2,0.175,0.206,0.206,6.744,3.378,0.95,0.917,-0.033,-0.2,0.778,0.333,0,1.311
5c41f240606360c3fb8c78d70c34aa40c51e4639,f,27,5,13,360,0.758,0.242,0.45,0.258,27,1,26,19,43,0.035,0.136,0.561,0.614,1.019,0.3,2.882,2.828,4.754,0.617,0.646,0.554,0.716,0.235,0.354,0.446,0.284,0.225,0.133,0.206,0.206,2.278,2.849,0.787,0.644,-0.143,-2.07,-1,1.308,0.381,1.997
57e66a76e4b79d7c7fceca66e71999c43ab2c5b9,f,52,2,11,360,0.392,0.608,0.35,0.108,47,1,46,43,2,1.878,2.08,0.481,0.506,0.221,0.839,2.75,3.552,5.72,0.627,0.416,0.398,0.56,0.53,0.481,0.566,0.679,0.231,0.214,0.231,0.233,0.972,0.282,0.433,0.617,0.183,1.208,1.486,-1.235,-2.13,1.173
5668020187f4ae445383e3defb51fa6561e21f89,f,43,2,14,360,0.458,0.542,0.342,0.042,29,1,28,29,158,2.078,1.63,0.525,0.572,0.086,0.038,2.018,1.78,3.579,0.603,0.621,0,0.548,0.571,0.638,0,0.512,0.175,0.161,0,0.233,1.675,1.948,0.627,0.623,-0.004,0.206,0.257,-0.227,0.043,-0.219
416c5099001ae5f244ae8a9608e00ef60a308bf0,m,19,4,15,360,0.854,0.146,0.471,0.354,50,1,49,47,104,6.16,9.691,0.772,0.736,1.096,0.75,1.567,1.46,2.96,0.857,0.836,0.56,0.75,0.238,0.205,0.28,0.338,0.233,0.203,0.208,0.222,0.244,0.145,0.767,0.567,-0.2,-2.068,-1.353,0.9,-0.25,1.865
80264adaf9d98c4ca4706c1f43123332ce59fb4f,f,57,2,15,360,0.367,0.633,0.2,0.133,50,22,28,28,13,6.922,8.597,0.611,0.703,1.333,1.503,3.958,4.095,6.394,0.76,0.75,0.676,0.699,0.667,0.5,0.426,0.74,0.208,0.189,0.189,0.203,0.506,9.923,0.934,0.949,0.015,0.333,1.227,-1.25,-1,0.644
ad0f529bee2bb78cf37e0eef198cef533444ab9a,f,36,9,11,360,0.45,0.55,0.092,0.05,32,1,31,29,22,2.659,2.007,0.497,0.544,0.012,0.016,1.387,1.687,3.25,0.61,0.507,0.47,0.494,0.561,0.507,0.515,0.553,0.228,0.197,0.183,0.236,0.306,0.096,0.533,0.5,-0.033,0.333,-0.037,-0.893,1.433,-2.697
8a4be7fbdb6a114f37ec62666ba1fcf9e51ae6cb,f,46,9,14,360,0.046,0.954,0.425,0.454,38,1,37,34,17,2.212,3.479,0.492,0.5,0.043,0.236,1.794,2.022,3.831,0.612,0.474,0.282,0.525,0.765,0.795,0.833,0.862,0.236,0.217,0.217,0.222,1.508,1.553,0.525,0.574,0.048,-0.467,-0.839,0.75,1.038,-0.661
d4f904192750e850bf97cb351d823b9f7939c7ad,f,39,4,11,360,0.008,0.992,0.492,0.492,39,1,38,35,1,1.881,3.006,0.556,0.622,0.15,0.146,2.143,2.478,4.184,0.744,0.6,0.493,0.711,0.872,0.709,0.775,0.842,0.217,0.153,0.197,0.211,5.089,4.716,0.533,0.733,0.2,-2.533,-2.293,2.5,6.312,-3.572
4c99cf7d7d598ebf7e69496126ef5799d63a347d,m,19,9,14,360,0.829,0.171,0.496,0.329,40,2,38,35,34,2.432,3.324,0.514,0.558,0.333,0.374,4.368,2.792,4.564,0.688,0.471,0.488,0.59,0.25,0.243,0.317,0.265,0.222,0.194,0.228,0.231,2.158,1.698,0.617,0.7,0.083,-0.2,-0.833,-1.348,3.111,-5.092
52b21050bed9704174fb51c93af11e7fb4d9bcd3,f,21,5,11,360,0.383,0.617,0.4,0.117,50,1,49,45,77,1.638,2.497,0.478,0.517,0.72,0.745,2.865,3.064,5.052,0.482,0.567,0.462,0.592,0.576,0.672,0.488,0.632,0.236,0.186,0.222,0.211,4.542,5.366,0.557,0.61,0.053,-1.636,0.229,-0.37,0.174,1.321
